Root	Stem 0 / Basic	Stem 1	Stem 2	Stem 3	Contential	Constitutive	S1 Objective	S2 Objective	S3 Objective	S1 Completive	S2 Completive	S3 Completive	Dynamic	S1 Wikidata	S2 Wikidata	S3 Wikidata
btr	other triticeae 2	wood-barley (genus Hordelymus)	wildrye, lyme grass (genus Leymus)	Eurasian quackgrass, rush wheatgrass, tall wheatgrass (genus Thinopyrum)												
btř	other triticeae 3	club wheat, Persian wheat, Armenian wild emmer, red wild einkorn wheat, Ethiopian wheat, Zanduri wheat, Polish wheat (other Triticum)	other wild wheatgrass (other Triticeae)	n/a												
bţr	outdoor swimming pool	outdoor swimming pool	use of a outdoor swimming pool	being deprived of a functioning outdoor swimming pool												
btv	pooideae 3	melic grass, semaphore grass, false semaphore grass, false mesic (Meliceae)	needle grass, spear grass, silver spike grass, ricegrass, sleepygrass, achnatherum, needle-and-thread grass, feather grass, false needle grass (Stipeae)	stramma/rope grass/Mauritania grass/dis grass (genus Ampelodesmos)												
btw	triticeae (wheat-related domesticated cereal grain)	barley grass (genus Hordeum)	rye grass (genus Secale)	triticale grass (genus Triticosecale)												
bty	triticum (wheat) 2	einkorn wheat grass (Triticum monococcum, Triticum boeoticum)	emmer wheat grass (Triticum turgidum dicoccum, Triticum turgidum dicoccoides)	khorasan wheat grass, kamut grass (Triticum turanicum)												
bv	whitish	white	light-colored/pale-tinted	outshined by bright light/glare												
bvk	basellaceae	Malabar spinach/vine spinach/Ceylon spinach (genus Basella)	ulluco (genus Ullucus)	Madeira vine, other basellaceous plant (genera Anredera, Tournonia)												
bvkç	nyctaginaceae 3	windmills, trailing four o’clock (genus Allionia)	ringstem (genus Anulocaulis)	rling, alena, windflower, climbing wartclub/wishbone vine, alena, boerhavia (genus Boerhavia)												
bvkf	nyctaginaceae 1	bougainvillea, paperflower (genus Bougainvillea)	brittle thorn (genus Phaeoptilum)	sandpuff, sand-verbena (genus Tripterocalyx)												
bvkh	nyctaginaceae 4	catchbirtree, pullback, devil’s-claws, water mampoo, birdcatcher tree, birlime tree (genus Pisonia)	nia, neea, saltwood (genus Neea)	other nyctaginaceous plant (other Nyctaginaceae)												
bvkl	drosophyllaceae & nepenthaceae	Portuguese sundew/dewy pine (genus Drosophyllum)	tropical pitcher plant/monkey cup (genus Nepenthes)	n/a												
bvkm	petiveriaceae	pigeonberry/rougeplant/baby peppers/bloodberry/coralito (genus Rivina)	hoopvine/black basket wythe/cooper’s wythe/basket wiss/basket with/hoop with (genus Trichostigma)	other petiveriaceous plant (Petiveriaceae except genera Rivina, Trichostigma)												
bvkn	phytolaccaceae	pokeweed, poke, pokebush, pokeberry, pokeroot, poke sallet, red inkplant, inkberry (genus Phytolacca)	rockroot (genus Agdestis)	other phytolaccaceous plant (genera Anisomeria, Ercilla, Nowickea)												
bvkr	montiaceae 1	miner’s lettuce, tadlily, water-blinks, montia (genus Montia)	purslane, redmaid, parakeelya (genus Calandrinia)	pussypaws, sandcress (genus Cistanthe)												
bvkř	montiaceae 2	spring beauty, winter purslane, Indian lettuce,  grass-flower/fairy spud, claytonia (genus Claytonia)	lewisia, cliff maids, bitter-root (genus Lewisia)	Tweedy’s pussypaws/Tweedy’s lewisia/Tweedy’s bitterroot (genus Lewisiopsis)												
bvkţ	montiaceae 3	lyallia cushion (genus Lyallia)	fameflower, rock rose, rock pink, sand pink, sunbright (genus Phemeranthus)	other montiaceous plant (other Montiaceae)												
bvkv	nyctaginaceae 2	four-o’clock, marvel of Peru, desert wishbone-bush, umbrella wort, maravilla (genus Mirabilis)	abronia, sand-verbena, heart’s delight, prairie snowball/fragrant verbena, coastal (genus Abronia)	trumpets, desert moonpod (genus Acleisanthes)												
bvkw	didiereaceae	octopus tree (genus Didierea)	Madagascar ocotillo (genus Alluaudia)	other didiereaceous plant (genera Decarya, Alluaudiopsis, Portulacaria)												
bvky	droseraceae	sundew (genus Drosera)	Venus flytrap (genus Dionaea)	waterwheel plant (genus Aldrovanda)												
bvl	broth-based soup	broth-based soup	cooking a broth-based soup recipe	sourcing/raising material for a broth-based soup												
bvm	plumbaginaceae 1	leadwort, plumbago, doctorbush, whorled plantain (genus Plumbago)	leadwort, plumbago (genus Ceratostigma)	thrift, lady’s cushion/sea pink (genus Armeria)												
bvmw	plumbaginaceae 2	sea-lavender, tree limonium, statice, caspia, marsh-rosemary (genus Limonium)	other plumbaginaceous plant (other Plumbaginaceae)	n/a												
bvn	caryophyllales 1	sea heath, alkali heath, Saint Helena tea, frankenia (genus Frankenia)	jumby pepper (genus Microtea)	purslane, pigweed, ‘ihi (genus Portulaca)												
bvnw	caryophyllales 2	greasewood/seepwood/saltbush (genus Sarcobatus)	jojoba/goat nut/deer nut/pignut/wild hazel/quinine nut/coffeeberry/gray box bush (genus Simmondsia)	other caryophyllales plant (other Caryophyllales)												
bvr	puree-based soup	puree-based soup	cooking a puree-based soup recipe	sourcing/raising material for a puree-based soup												
bvř	sauce	sauce	cooking a sauce recipe	sourcing/raising material for a sauce												
bvw	stew	stew	cooking a stew recipe	sourcing/raising material for a stew												
bvy	gruel/porridge	gruel/porridge	cooking a gruel/porridge recipe	sourcing/raising material for gruel/porridge												
bw	body of salt water	ocean/sea	lagoon	saltwater pond/lake												
bx	generosity/altruism/self-sacrifice	being/acting generous	being/acting altruistic	self-abasement/self-abnegation												
bxw	brick	(an instance/some amount of) brick	a state of being made of brick	characteristics of brick												
by	common-sense/prudence/wisdom	having common sense	being prudent/circumspect/discerning	being wise/sagacious based on analysis/introspection												
bz	rabbit/hare/pika	🐇 rabbit/bunny/coney (Leporidae except genus Lepus)	hare, jackrabbit (genus Lepus)	pika (genus Ochotona)												
