Root	Stem 0 / Basic	Stem 1	Stem 2	Stem 3	Contential	Constitutive	S1 Objective	S2 Objective	S3 Objective	S1 Completive	S2 Completive	S3 Completive	Dynamic	S1 Wikidata	S2 Wikidata	S3 Wikidata
nstm	corvoid 1	shrike (Laniidae)	monarch, crested flycatcher, paradise flycatcher (Terpsiphoninae)	monarch, shrikebill, magpie-lark, torrent-lark, broad-billed flycatcher, ‘elepaio (Monarchinae)												
nštm	alcoid (skua/puffin/auklet)	skua, jaeger (genus Stercorarius)	puffin, rhinoceros puffin (genera Fratercula, Cerorhinca)	auklet (genera Aethia, Ptychoramphus)												
ňstm	meliphagoid bird	bristlebird (genus Dasyornis)	pardalote/peep-wren (genus Pardalotes)	honeyeater, myzomela, chat, friarbird, kikau, straightbill, wattlebird, melidectes, myza (Meliphagidae)												
nstn	corvoid 2	drongo, balicassiao (genus Dicrurus)	blue-caped ifrit (genus Ifrita)	melampitta (genus Melampitta)												
nstň	corcoracid (mudnester)	white-winged chough (genus Corcorax)	apostlebird (genus Struthidea)	n/a												
nštn	alcine (murre/guillemot/auk)	murrelet (genera Brachyramphus, Synthliboramphus)	guillemot, murre/turr (genera Cepphus, Uria)	dovekie/little auk, razorbill/lesser auk (genera Alle, Alca)												
ňstn	orthoychoid bird	logrunner (genus Orthonyx)	chowchilla (Orthonyx spaldingii)	Australasian babbler/pseudo-babbler (genus Pomatostomus)												
nstr	corvid 4	scrub-jay, pinyon jay (genera Aphelocoma, Gymnorhinus)	Canada jay, Siberian jay, Sichuan jay (genus Perisoreus)	chough (genus Pyrrhocorax)												
nstř	rhipidurid	fantail, wagtail (genus Rhipidura)	silktail (genus Lamprolia)	drongo fantail/pygmy drongo (genus Chaetorhynchus)												
nsţr	durnavirales	human, equine, or beihai picobirnavirus (genus Picobirnavirus)	Allium cepa, spinach, or Zoostera marina amalgavirus, blueberry latent, rhododendron, southern tomato, vicia cryptic, or Zygosaccharomyces bailii virus (genera Amalgavirus, Zybavirus)	cryphonectria hypovirus, partitivirus, or other durnavirales (Hypoviridae, Partitiviridae)												
nštr	scolopacids (sandpiper) 2	turnstone (genus Arenaria)	phalarope (genus Phalaropus)	tattler, yellowlegs, shank (genus Tringa)												
nštř	scolopacine (snipe)	snipe, jacksnipe (genera Gallinago, Coenocorypha, Lymnocryptes)	dowitcher (genus Limnodromus)	woodcock (genus Scolopax)												
ňstr	acanthizid (Australian warbler) 2	thornbill (genus Acanthiza)	whiteface (genus Aphelocephala)	goldenface (genus Pachycare)												
ňstř	acanthizid (australian warbler) 3	gerygone (genus Gerygone)	scrubtit (genus Acanthornis)	weebill (genus Smicornis)												
ňsţr	astrovirus	human astrovirus/HAstV (HAstV, HAstV-VA, HAstV-MLB)	ovine, bovine, feline, sea lion, murine, porcine, or mink astrovirus (other Mamastrovirus)	chicken, pigeon, or avian nephritis astrovirus (genus Avastrovirus)												
ňštr	passeriform bird 3	leafbird (genus Chloropsis)	olive warbler (genus Peucedramus)	accentor, dunnock, hedge sparrow (genus Prunella)												
ňštř	passaroid bird	Old World sparrow, rockfinch, snowfinch, bush sparrow, ibon (Passeridae)	wagtail, longclaw, pipit, shorttail, madanga (Motacillidae)	longspur, bunting (genera Calcarius, Plectrophenax, Rhynchophanes)												
nstv	paradisaeid (bird-of-paradise) 3	paradise-crow (genus Lycocorax)	paradigalla (genus Paradigalla)	n/a												
nštv	turnicid/glareoloid	buttonquail, quail-plover (genera Turnix, Ortyxelos)	crab-plover (genus Dromas)	pratincole, courser (genera Glareola, Stiltia, Rhinoptilus, Cursorius)												
ňstv	mohouid	whitehead (Mohoua albicilla)	pipipi/brown creeper (Mohoua novaeseelandiae)	yellowhead (Mohoua ochrocephala)												
ňštv	icterid 3	oropendola (genus Psarocolius)	cacique (genera Cacicus, Cassiculus, Amblycercus)	bobolink (genus Dolichonyx)												
nstw	corvid 1	magpie (genus Pica, Cyanopica, Cissa, Urocissa)	Old World jay (genus Garrulus)	treepie (genera Dendrocitta, Crypsirina, Temnurus, Platysmurus)												
nsţw	sobelivirales	heterocapsa circularisquama RNA virus (genus Dinornavirus)	mushroom bacilliform virus (genus Barnavirus)	poinsettia latent, blueberry shoestring, cocksfoot mottle, lucerne transient streak, papaya lethal yellowing, rice yellow mottle, ryegrass mottle, sesbania mosaic, *Solanum nodiflorum* mottle, southern bean mosaic, southern cowpea mosaic, sowbane mosaic, subterranean clover mottle, turnip rosette, velvet tobacco mottle, or imperata yellow mottle virus (Solemoviridae)												
nštw	charadriiform 2	oystercatcher (genus Haematopus)	avocet (genus Recurvirostra)	stilt (genera Cladorhynchus, Himantopus)												
ňstw	climacterioid bird	bowerbird (genera Archboldia, Amblyomis, Prionodura, Sericulus, Ptilonorhynchus, Chlamydera)	catbird (genera Ailuroedus, Scenopoeetes)	Australian treecreeper (genera Climacteris, Cormobates)												
ňsţw	potyvirus 2	ryegrass mosaic virus (genus Rymovirus)	triticum mosaic virus (genus Poacevirus)	other potyvirus (other Potyviridae)												
ňštw	estrildoid bird	weaver, bishop, widowbird, fody, quelea, malimbe (Ploceidae)	indigobird, whydah, cuckoo-finch (genera Vidua, Anomalospiza)	waxbill, mannikin, munia, silverbill, twinspot, firefinch, quailfinch, antpecker, nigrita, oliveback, pytilia, crimsonwing, seedcracker, bluebill, cordon-bleu, purple grenadier, avadavat, estrildid finch (Estrildidae)												
nsty	corvid 2	ground jay/chough (genus Podoces)	piacpiac (genus Ptilostomus)	bush crow (genus Zavattariornis)												
nšty	chionidiform	stone-curlew, thick-knee (genera Burhinus, Esacus)	sheathbill/paddy (genus Chionis)	Magellanic plover (genus Pluvianellus)												
ňsty	malurid (Australian wren)	fairywren (Malurini)	emu-wren (genus Stipiturus)	grasswren (genus Amytornis)												
ňšty	passeriform bird 1	sugarbird (genus Promerops)	spot-throat, dapple-throat, grey-chested babbler (genera Modulatrix, Arcanator, Kakamega)	flowerpecker (genera Dicaeum, Prionochilus)												
ňsv	freighter ship/passenger liner/military gunship	freighter ship	passenger liner	military gunship												
nšw	dignity/politeness/courtesy/noble-breeding	dignity	politeness/courtesy	noble-breeding												
ňsw	single-masted sailboat/sailboat+rowboat/small sailboat	single-masted sailboat	sailboat+rowboat	small sailboat												
ňsx	aircraft carrier/submarine/other specialized watercraft	aircraft carrier	submarine	other specialized watercraft												
ňsxl	burseraceae 2	gaboon/angouma/okoumé (genus Aucoumea)	Chinese white olive, mango bark/brown cudgerie/parsnip wood, scrub turpentine/carrot wood/Melville Island white beech, Chinese black olive, African canarium, black dhup/Raal dhup/black dammar (genus Canarium)	African pear/bush pear/bush plum/bush butter tree/butterfruit tree (genus Dacryodes)												
ňsxm	huerteales	dipenodontaceous plant (genera Dipentodon, Perrottetia)	tapisciaceous plant (genera Tapiscia, Huertea)	other huerteales plant (genera Gerrardina, Petenaea)												
ňsxn	picramniaceae	bitterbush (genus Picramnia)	Mexican alvaradoa, alvaradoa (genus Alvaradoa)	other picramniaceous plant (genera Nothotalisia, Aenigmanu)												
nsxr	spatula/chopstick/tongs	spatula	chopstick	tongs												
ňsxr	burseraceae 3 & remaining sapindales	copal tree (genus Protium)	other burseraceous plant/tree (other Burseraceae)	other sapindales plant/tree (genera Biebersteinia, Kirkia)												
ňsxw	burseraceae 1	frankincense tree, luban/Yigaar tree, Indian oli-banum/Salai gugul (genus Boswellia)	myrrh plant, opopanax plant, bdellium plant, commiphora, rock corkwood, gugal/guggul/Mukul myrrh tree (genus Commiphora)	torchwood copal/fragrant bursera, gumbo-limbo/copperwood/chaca/turpentine tree, elephant tree, palo santo (genus Bursera)												
ňsy	multi-masted sailboat/sailing ship/catamaran	multi-masted sailboat	sailing ship	catamaran												
nt	sequential enumeration	counting entities to determine quantity thereof	sequential numerical labeling for ordering/identifying	numerical pattern/arrangement, enumeration												
nţ	birth/gestation/conception	born/giving birth	maternal gestation	biological conception												
ňt	privacy/seclusion/isolation	being private	being secluded/solitary	being isolated												
ňţ	accuracy/suitability/legitimacy	correctness/accuracy	suitability/fitness	legitimacy/orthodoxy	state of ~		something w/a ° of correctness/accuracy	something w/a ° of suitability/fitness	something w/a ° of legitimacy/orthodoxy							
nţb	scooter/moped	scooter	motorized scooter	moped												
ntç	tar/pitch	(an instance/some amount of) tar	a state of being made of tar	characteristics of tar												
nţc	litostomatea 1	chaenia (genus Chaenia)	didinium (genus Didinium)	homolozoon (genus Homolozoon)												
nţč	litostomatea 3	spathidium (genus Spathidium)	enchelys (genus Enchelys)	mesodinium (genus Mesodinium)												
ňtç	proposition/counseling/advocacy	proposition	counseling	advocacy												
nţcw	litostomatea 2	lachrymaria (genus Lachrymaria)	dileptus (genus Dileptus)	trachelius (genus Trachelius)												
nţčw	litostomatea 4	amphileptus (genus Amphileptus)	loxophyllum (genus Loxophyllum)	litonotus (genus Litonotus)												
nţd	motor scooter/motorcycle	motor scooter	two-wheeled motorcycle	three-wheeled motorcycle												
ntf	sand	(an instance/some amount of) sand	a state of being made of sand	characteristics of sand												
nţf	tractor/dump truck/cement mixer	tractor	dump truck	cement mixer												
ňţf	thrombopoietin	thrombopoietin	chemical reaction of thrombopoietin	energy released from chemical reaction of thrombopoietin												
nţfl	apicomplexa/sporozoa 3	babesia (genus Babesia)	entopolypoides (genus Entopolypoides)	theileria (genus Theileria) [-ÇK- equine piroplasmosis]												
ňţfl	guanylin	guanylin	chemical reaction of guanylin	energy released from chemical reaction of guanylin												
nţfr	apicomplexa/sporozoa 4	nycteria (genus Nycteria)	rayella (genus Rayella)	other apicomplexan/sporozoan parasite (other Apicomplexa)												
ňţfr	urogualynin	urogualynin	chemical reaction of urogualynin	energy released from chemical reaction of urogualynin												
ňţfř	ventricular natriuretic peptide	ventricular natriuretic peptide	chemical reaction of ventricular natriuretic peptide	energy released from chemical reaction of ventricular natriuretic peptide												
ntfw	lava	(an instance/some amount of) lava	a state of being made of lava	characteristics of lava												
nţfw	apicomplexa/sporozoa 1	plasmodium (genus Plasmodium)	toxoplasma (genus Toxoplasma)	cryptosporidium (genus Cryptosporidium)												
ňţfw	thyroid-stimulating hormone	thyroid-stimulating hormone	chemical reaction of thyroid-stimulating hormone	energy released from chemical reaction of thyroid-stimulating hormone												
nţfy	apicomplexa/sporozoa 2	cyclospora (genus Cyclospora)	cystoisospora/isospora (genus Cystoisospora)	hepatocystis (genus Hepatocystis)												
ňţfy	vasoactive intestinal peptide	vasoactive intestinal peptide	chemical reaction of vasoactive intestinal peptide	energy released from chemical reaction of vasoactive intestinal peptide												
nţg	go-cart/dune buggy/all-terrain vehicle	go-cart	dune buggy	all-terrain vehicle												
nţgr	dicycle/self-balancing scooter/hoverboard	dicycle/diwheel/Segway	self-balancing scooter	hoverboard												
nth	number/integer/rational number	number, expressing numerically	integer	rational number												
nthw	variable/coefficient/constant	variable	coefficient	mathematical constant			function									
ntk	hope/encouragement/optimism	hopefulness	encouraged feeling	optimism												
nţk	heterotrichea 1	blepharisma (genus Blepharisma)	climacostomum (genus Climacostomum)	fabrea (genus Fabrea)												
nţkç	colpodea 2	woodruffia (genus Woodruffia)	bryophrya (genus Bryophrya)	other colpodid ciliate (other Colpodea)												
nţkf	colpodea 1	colpoda (genus Colpoda)	bresslaua (genus Bresslaua)	tillina (genus Tillina)												
nţkh	oligohymenophorea 3	ichthyophthirius (genus Ichthyophthirius)	ophryoglena (genus Ophryoglena)	other oligohymenophorean ciliate (other Oligohymenophorea)												
nţkl	heterotrichea 4	maristentor (genus Maristentor)	peritromus (genus Peritromus)	other heterotrich ciliate (other Heterotrichea)												
nţkm	oligohymenophorea 1	paramecium (genus Paramecium)	frontonia (genus Frontonia)	urocentrum (genus Urocentrum)												
nţkn	oligohymenophorea 2	tetrahymena (genus Tetrahymena)	glaucoma (genus Glaucoma)	colpidium (genus Colpidium)												
nţkr	karyorelictea 1	loxodes (genus Loxodes)	cryptopharynx (genus Cryptopharynx)	geleia (genus Geleia)												
nţkř	karyorelictea 2	kentrophorus (genus Kentrophorus)	tracheloraphis (genus Tracheloraphis)	other karyorelict ciliate (other Karyorelictea)												
nţks	nassophorea	nassula (genus Nassula)	discotricha (genus Discotricha)	other nassophorid ciliate (other Nassophorea)												
nţkš	peritrichia	vorticella (genus Vorticella)	cothurnia (genus Cothurnia)	other peritrich ciliate (other Peritrichia)												
nţkw	heterotrichea 2	phacodinium (genus Phacodinium)	protocruzia (genus Protocruzia)	condylostoma (genus Condylostoma)												
nţky	heterotrichea 3	folliculina (genus Folliculina)	spirostomum (genus Spirostomum)	stentor (genus Stentor)												
ntl	sandal	wearing a sandal as protection	wearing a sandal as fashion	wearing a sandal as an indicator												
nţl	passenger automobile	coupe	sedan	station wagon/automobile-chassis-based SUV												
ňtl	overcoat/long coat	wearing an overcoat/long coat as protection	wearing an overcoat/long coat as fashion	wearing an overcoat/long coat as an indicator												
ňtļ	aquamarine	(an instance/some amount of) aquamarine	a state of being made of aquamarine	characteristics of aquamarine												
ňţl	datureae	devil's trumpet (genus Datura)	angel's trumpet (genus Brugmansia)	trompettia, other daturid plant (genus Trompettia)												
ntm	master⬌servant	master⬌servant relationship	master	servant												
nţm	inflammation/sore throat/fever	inflammation, immune reaction	sore throat	fever												
ňţm	cestroideae 1	cestrum, jessamine, lady of the night, green poisonberry (genus Cestrum)	Chilean box thorn (genus Vestia)	painted tongue/scalloped tube tongue/velvet trumpet flower (genus Salpiglossis)												
ňţmw	garryales	silk tassel/tassel bush (genus Garrya)	spotted laurel/Japanese laurel/gold dust plant, acuba (genus Aucuba)	eucommia (genus Eucommia)												
ňţmy	other lamiid order	icacinacious plant, oncotheca plant (Icacinales)	vahlia (genus Vahlia)	metteniusaceous plant (Metteniusaceae)												
ntn	predation⬌prey	state/act of a predation/prey relationship	state/act of predation	act/state of being stalked/preyed upon												
ntň	latitudinal base	equator	north pole	south pole												
nţn	limousine/hearse/police car	limousine	hearse	police car												
nţň	passenger van/pick-up truck	passenger van	automobile-chassis-based pick-up truck	full-sized pick-up truck/truck-chassis-based SUV												
ňţn	cestroideae 2	bush-violet, amethyst flower (genus Browallia)	marmalade bush/firebush (genus Streptosolen)	other cestroid flower (other Cestroideae)												
ňţň	other solanales family	false fiddleleaf (genus Hydrolea)	montiniid plant (genera Montinia, Grevea, Kaliphora)	sphenoclea (genus Sphenoclea)												
nţp	spirotrichea 1	euplotes (genus Euplotes)	paraeuplotes (genus Paraeuplotes)	diophrys (genus Diophrys)												
ňtp	amylin	amylin	chemical reaction of amylin	energy released from chemical reaction of amylin												
ňţp	osteocalcin	osteocalcin	chemical reaction of osteocalcin	energy released from chemical reaction of osteocalcin												
nţpç	spirotrichea 7	gonostomum (genus Gonostomum)	holosticha (genus Holosticha)	epiclintes (genus Epiclintes)												
ňtpç	vasopressin	vasopressin	chemical reaction of vasopressin	energy released from chemical reaction of vasopressin												
ňţpç	prolactin-releasing hormone	prolactin-releasing hormone	chemical reaction of prolactin-releasing hormone	energy released from chemical reaction of prolactin-releasing hormone												
nţpf	spirotrichea 8	strongylidium (genus Strongylidium)	kerona (genus Kerona)	trachelostyla (genus Trachelostyla)												
ňtpf	brain natriuretic peptide	brain natriuretic peptide	chemical reaction of brain natriuretic peptide	energy released from chemical reaction of brain natriuretic peptide												
ňţpf	relaxin	relaxin	chemical reaction of relaxin	energy released from chemical reaction of relaxin												
nţph	armophorea	metopus (genus Metopus)	chaenomorpha (genus Chaenomorpha)	other armophorean ciliate (other Armophorea)												
ňtph	corticotropin-releasing hormone	corticotropin-releasing hormone	chemical reaction of corticotropin-releasing hormone	energy released from chemical reaction of corticotropin-releasing hormone												
ňţph	somatostatin	somatostatin	chemical reaction of somatostatin	energy released from chemical reaction of somatostatin												
nţphw	unusual ciliophora	muranothrix (genus Muranothrix)	cariacothrix (genus Cariacothrix)	other unicellular ciliate (other Ciliophora)												
nţpl	spirotrichea 4	oxytricha (genus Oxytricha)	urosoma (genus Urosoma)	kahliella (genus Kahliella)												
nţpļ	spirotrichea 9	hypotrichidium (genus Hypotrichidium)	stichotricha (genus Stichotricha)	other spirotrich ciliate (other Spirotrichea)												
ňtpl	corticotropin	corticotropin	chemical reaction of corticotropin	energy released from chemical reaction of corticotropin												
ňtpļ	cholecystokinin	cholecystokinin	chemical reaction of cholecystokinin	energy released from chemical reaction of cholecystokinin												
ňţpl	parathyroid hormone	parathyroid hormone	chemical reaction of parathyroid hormone	energy released from chemical reaction of parathyroid hormone												
ňţpļ	secretin	secretin	chemical reaction of secretin	energy released from chemical reaction of secretin												
nţpr	spirotrichea 5	urostyla (genus Urostyla)	uroleptus (genus Uroleptus)	tachysoma (genus Tachysoma)												
nţpř	spirotrichea 6	amphisiella (genus Amphisiella)	uroleptoides (genus Uroleptoides)	tetrastyla (genus Tetrastyla)												
ňtpr	angiotensin	angiotensin	chemical reaction of angiotensin	energy released from chemical reaction of angiotensin												
ňtpř	angiotensinogen	angiotensinogen	chemical reaction of angiotensinogen	energy released from chemical reaction of angiotensinogen												
ňţpr	pituitary adenylate cyclase-activating peptide	pituitary adenylate cyclase-activating peptide	chemical reaction of pituitary adenylate cyclase-activating peptide	energy released from chemical reaction of pituitary adenylate cyclase-activating peptide												
ňţpř	prolactin	prolactin	chemical reaction of prolactin	energy released from chemical reaction of prolactin												
nţps	oligotrichea 1	halteria (genus Halteria)	strombidium (genus Strombidium)	tontonia (genus Tontonia)												
nţpš	oligotrichea 2	tintinnidium (genus Tintinnidium)	strombidinopsis (genus Strombidinopsis)	other oligotrich ciliate (other Oligotrichea)												
ňtpţ	clacitonin	clacitonin	chemical reaction of clacitonin	energy released from chemical reaction of clacitonin												
ňţpţ	renin	renin	chemical reaction of renin	energy released from chemical reaction of renin												
nţpw	spirotrichea 2	euplotidium (genus Euplotidium)	aspidisca (genus Aspidisca)	uronychia (genus Uronychia)												
ňtpw	anti-Müllerian hormone	anti-Müllerian hormone	chemical reaction of anti-Müllerian hormone	energy released from chemical reaction of anti-Müllerian hormone												
ňţpw	oxytocin/pitocin	oxytocin/pitocin	chemical reaction of oxytocin/pitocin	energy released from chemical reaction of oxytocin/pitocin												
nţpy	spirotrichea 3	stylonychia (genus Stylonychia)	steinia (genus Steinia)	pleurotricha (genus Pleurotricha)												
ňtpy	adiponectin	adiponectin	chemical reaction of adiponectin	energy released from chemical reaction of adiponectin												
ňţpy	pancreatic polypeptide	pancreatic polypeptide	chemical reaction of pancreatic polypeptide	energy released from chemical reaction of pancreatic polypeptide												
ntr	joy	joy	joy centered on what one has accomplished	joy from one's social/familial/romantic connections												
ntř	latex (natural)	(an instance/some amount of) natural latex	a state of being made of natural latex	characteristics of natural latex												
nţr	usefulness/service/assistiveness	usefulness	potentially serving a function	potentially being of assistance												
nţř	taxi cab/ambulance/fire engine	taxi cab	ambulance	fire engine												
ňtr	vest	wearing a vest as protection	wearing a vest as fashion	wearing a vest as an indicator												
ňtř	nagging⬌being nagged	nagging⬌being nagged relationship	nagging	being nagged												
ňţr	solandreae	chalice vine, Hawaiian lily (genus Solandra)	goldfinger (genus Juanulloa)	other solandrean plant (Solandreae except genera Solandra, Juanulloa)												
ňţř	other solanoideae	apple-of-Peru/shoo-fly plant (genera Nicandra, Exodeconus)	Chilean bell flower (genus Nolana)	other solanoid plant (genera Jaborosa, Latua, Mandragora, Nectouxia, Salpichroa)												
nţt	subject/topic/point/thesis	topic/subject matter [CPT=conclude]	argument [CPT= one's point]	thesis [CPT=conclude]												
ňţt	test/evaluation/vetting/experiment	testing/examination [PRC=end in itself]	vetting/evaluation [PRC=end in itself]	experimenting/testing out [PRC=end in itself]						testing/examination	vetting/evaluation	experimenting/testing out				
nţtç	prostomatea 3	bursella (genus Bursella)	holophrya (genus Holophrya)	other prostomate ciliate (other Prostomatea)												
nţtf	plagiopylea 1	plagiopyla (genus Plagiopyla)	sonderia (genus Sonderia)	discomorphella (genus Discomorphella)												
nţth	litostomatea 5	trachelophyllum (genus Trachelophyllum)	balantidium (genus Balantidium)	other litostomate ciliate (other Litostomatea)												
nţtl	phyllopharyngea 3 (scutorian)	endogenid suctorian (Endogenida)	exogenid suctorian (Exogenida)	evagionogenid or other suctorian (Evaginogenida, other Suctoria)												
nţtļ	plagiopylea 2	epalxella (genus Epalxella)	saprodinium (genus Saprodinium)	other plagiopylean ciliate (other Plagiopylea)												
nţtr	prostomatea 1	coleps (genus Coleps)	prorodon (genus Prorodon)	placus (genus Placus)												
nţtř	prostomatea 2	urotricha (genus Urotricha)	chilophrya (genus Chilophrya)	balanion (genus Balanion)												
nţtw	phyllopharyngea 1	cryptogemmid ciliate (Cryptogemmida)	exogemmid ciliate (Exogemmida)	chlamydodontid ciliate (Chlamydodontida)												
nţty	phyllopharyngea 2	dysteriid ciliate (Dysteriida)	hypocomatid ciliate (Hypocomatida)	rhynchodid ciliate (Rhynchodida)												
ntv	latex (synthetic)	(an instance/some amount of) synthetic latex	a state of being made of synthetic latex	characteristics of synthetic latex												
nţv	jeep/snowplow/specialized farming/agricultural vehicle	jeep	snowplow	specialized farming/agricultural vehicle												
nţvl	dinoflagellata 3	amoebophrya (genus Amoebophrya)	noctiluca (genus Noctiluca)	other dinoflagellate (other Dinoflagellata)												
nţvr	dinoflagellata 4	chromerid myzozoan (Chromerida)	perkinsean parasite (Perkinsozoa)	other myzozoan, including Protalveolata (other Myzozoa)												
nţvw	dinoflagellata 1	tripos (genus Tripos)	ceratium (genus Ceratium)	gonyaulax (genus Gonyaulax)												
nţvy	dinoflagellata 2	peridinium (genus Peridinium)	gymnodinium (genus Gymnodinium)	oxyrrhis (genus Oxyrrhis)												
ntw	oil (plant-derived)	(an instance/some amount of) plant oil	a state of being made of plant oil	characteristics of plant oil												
nţw	delivery van/minibus/bus	delivery van/box van	multi-passenger van/minibus	bus												
ňţw	hyoscyameae	henbane (genus Hyoscyamus)	belladona, deadly nightshade (genus Atropa)	scopolia, other hyoscyamid plant (Hyoscyameae except genera Hyoscyamus, Atropa)												
ntx	mastication/swallowing/biting	chewing/mastication	swallowing	biting								biting off				
nţx	military tank/crane/specialized construction vehicle	military tank	crane	specialized construction vehicle (e.g. bulldozer, excavator)												
nty	petroleum	(an instance/some amount of) petroleum	a state of being made of petroleum	characteristics of petroleum												
nţy	camper van/motor coach/tractor truck	camper van/caravan	motorhome/motor coach	tractor truck/semi-trailer truck												
ňty	document/written page/linguistic grapheme	document	written page	linguistic grapheme												
ňţy	lycieae & mandragoreae	box-thorn, desert-thorn, honey thorn, water-jacket, matrimony-vine/goji/goji-berry/Duke of Argyll’s teaplant, wolfberry, Christmas berry, peachthorn, squawthorn (genus Lycium previously not classified in genus Grabowskia)	grabowskia, other lyciid plant (genus Lycium previously classified in genus Grabowskia, genus Sclerophylax)	n/a												
nv	butterfly/moth	🦋 butterfly	moth	🐛 caterpillar												
ňv	joy/happiness	merriment/delight/jollity	happiness	jubilation												
ňvl	eyeshadow/eye-linder/false eyelash	eyeshadow	eye-liner	false eyelash												
ňvr	facial -up/body paint/theatrical -up	facial -up	body paint/body -up	theatrical -up												
ňvř	mascara/lipstick/lip gloss	mascara	lipstick	lip gloss												
ňvw	varnish/polymer-based sealant/shellac	varnish	polymer-based sealant	shellac												
ňvy	paint	housepaint/industrial paint	artist’s paint	watercolor paint												
ňw	neck	neck	neck (as support for head)	neck (as vulnerable body part)												
nx	degree of furtiveness/covertness	furtive/covert	obscure/obfuscated/difficult to discern/interpret	sneaky/stealthy/surreptitious												
nxf	abdominal tissue	peritoneum	mesentery	caecum												
nxfl	negarnaviricota 3	yingvirus (genus Yingvirus)	ophiovirus (genus Ophiovirus)	yuyuevirus (genus Yuyuevirus)												
nxfr	negarnaviricota 4	reptile sunshinevirus (genus Sunshinevirus)	Midway, Nyamanini, Sierra Nevada, or soybean cyst nematode virus (Nyamviridae)	other negarnaviricote virus (other Articulavirales and Negarnaviricota)												
nxfw	negarnaviricota 1	mumps virus (genus Orthorubulavirus)	rubulavirus (Rubulavirinae except Orthorubulavirus)	human respiratory syncytial virus (HRSV), human/avian metapneumovirus, bovine repiratory syncytial virus, murine pneumonia virus (genera Orthopneumovirus, Metapneumovirus)												
nxfy	negarnaviricota 2	avulavirus, Newcastle disease virus (Avulavirinae)	bornavirus (genus Orthobornavirus)	python virus (genera Carbovirus, Cultervirus)												
nxl	frog/toad	frog (Neobatrachia, Mesobatrachia except Bufonidae)	toad (Bufonidae)	small primitive frog/toad (Archaeobatrachia)												
nxm	tears/vitreous humor/aqueous humor	tears	vitreous humor	aqueous humor												
nxn	nasal canal	nasal septum	nasal concha	nasal meatus												
nxp	orthomyxovirus 1	influenza A virus, avian influenza virus (genus Alphainfluenzavirus)	influenza B virus (genus Betainfluenzavirus)	influenza C/D virus (genera Gammainfluenzavirus, Deltainfluenzavirus)												
nxpç	rhabdoviridae 1	rabies virus (Rabies lyssavirus)	other lyssavirus (genus Lyssavirus except Rabies lyssavirus)	Chandipura virus, vesicular stomatitis virus (genus Vesiculovirus)												
nxph	paramyxoviridae 2	aquaparamyxovirus (genus Aquaparammyxovirus)	Fer-de-Lance virus (genus Ferlavirus)	other paramyxovirus (other Paramyxoviridae)												
nxpl	bunyavirales 2	Lassa virus, lymphocytic choriomeningitis virus, Lujo virus (genus Mammarenavirus-Old World Complex)	Whitewater Arroyo virus, Machupo virus, Sabiá virus, Chapare virus, Guanarito virus, Junín virus (genus Mammarenavirus-New World Complex)	Rift Valley fever, Punta Toro, or Sicilian phlebovirus (genus Phlebovirus)												
nxpļ	rhabdoviridae 2	Bas-Congo virus, Ekpoma virus (genus Tibrovirus)	novirhabdovirus (genus Novirhabdovirus)	other rhabdovirus (other Rhabdoviridae)												
nxpr	bunyavirales 3	tomato spottel wilt, soybean vein necrosis, or impatiens necrotic spot orthotospovirus (genus Orthotospovirus)	High Plains wheat mosaic, fig mosaic, blackberry leaf mottle associated, or raspberry leaf bloth emaravirus (genus Emaravirus)	other bunyavirales virus (other Bunyavirales)												
nxpř	filoviridae	ebolavirus (genus Ebolavirus)	Marburg virus, Ravn virus (genus Marburgvirus)	other filovirus (other Filoviridae)												
nxpţ	paramyxoviridae 1	measles virus (Measles morbillivirus) [-ÇK- rubeola]	canine distemper virus, feline/cetacean/phocine morbillivirus, rinderpest virus (genus Morbillivirus except Measles morbillivirus)	human, bovine, caprine, porcine, squirrel, or murine respirovirus (genus Respirovirus)												
nxpw	orthomyxovirus 2	quaranjavirus (genus Quaranjavirus)	dhori virus (genus Thogotovirus)	salmon isavirus (genus Isavirus)												
nxpy	bunyavirales 1	hantavirus (genus Orthohantavirus)	California encephalitis virus, La Crosse virus, Jamestown Canyon virus, Cache Valley virus (genus Orthobunyavirus)	Crimean-congo hemorhagic fever orthonairovirus (genus Orthonairovirus)												
nxr	salamander/newt/siren	salamander, mudpuppy/olm (Salamandrinae, Cryptobranchidae, Hynobiidae)	newt (Pleurodelinae)	siren, dwarf siren (genera Siren, Pseudobranchus)												
nxt	outer nose	ala (of nostril)	philtrum	nasal bridge												
nxw	delivering/sending/bringing	transfering/delivering/conveying	sending	bringing												
ny	choice/alternative	choosing	pondering/weighing a choice/conduct pro-vs-con analysis	settling for												
nz	goodwill/friendliness/being nice	being nice to another	goodwill/kindness	amicability/friendliness												
nž	maleae 1	🍏/🍎 apple tree (Malus domestica)	crabapple tree (genus Malus except Malus domestica))	pear tree (genus Pyrus)												
ňz	criticize/disparage/denigrate	criticizing/disparaging/denigrating	rebuking/scolding/berating/reproaching	defaming/slandering/libeling												
ňž	arrangement/order/symmetry	arranging/being arranged	ranking hierarchically	arranging symmetrically												
ňẓ	emotionalism/whim-worshipping/mysticism	emotion/melodrama driven in one’s daily decisions	whim-driven in daily decisions	relying on mysticism/supernatural for one’s life decisions												
nzb	shellac	(an instance/some amount of) shellac	a state of being made of shellac	characteristics of shellac												
